x0,x1,x2,x3,y,x4,x5
A4,20.0,A4,A68,0.0,0.01,0.0
A17,32.0,A4,A17,0.0,0.0,0.96
A16,28.0,A1,A21,0.29,0.02,0.0
A7,22.0,A7,A1,0.01,0.01,0.0
A3,28.0,,A12,0.05,0.0,0.0
A1,26.0,A0,A68,0.04,0.01,0.01
,34.0,A7,A69,0.5,0.78,0.01
A16,35.0,A0,A70,0.0,0.02,0.0
A15,21.0,A8,A71,0.16,0.06,0.0
A7,25.0,A6,A21,0.12,0.09,0.0
A5,24.0,A7,A21,0.1,0.02,0.0
A17,35.0,A0,A67,0.0,0.0,0.05
A3,28.0,A2,A23,0.06,0.0,0.0
A5,24.0,A0,A1,0.3,0.08,0.07
,28.0,A0,A3,0.19,0.0,0.0
A8,16.0,A4,A10,0.26,0.17,0.46
A3,29.0,A8,A12,0.08,0.0,0.0
A7,21.0,A3,A26,0.06,0.05,0.0
A4,28.0,A10,A72,0.0,0.01,0.0
A12,20.0,A0,A12,0.07,0.02,0.0
A3,28.0,A1,A3,0.12,0.0,0.0
A0,25.0,A4,A73,0.03,0.0,0.0
A7,23.0,A8,A10,0.22,0.18,0.0
A17,33.0,A4,A8,0.0,0.0,0.06
A7,22.0,A11,A25,0.06,0.05,0.16
A7,22.0,A1,A14,0.45,0.35,0.0
A7,24.0,A7,A65,1.0,0.04,0.0
A1,28.0,A1,A22,0.0,0.0,0.02
A0,27.0,A8,A19,0.24,0.0,0.0
A3,26.0,A8,A74,0.0,0.0,0.02
A1,29.0,A1,A75,0.12,0.0,0.0
A2,30.0,A8,A21,0.17,0.03,0.0
A14,14.0,A5,A76,0.0,0.0,0.02
A16,33.0,A4,A4,0.0,0.0,0.02
A3,28.0,A4,A77,0.13,0.0,0.0
A15,23.0,A3,A21,0.93,0.35,0.0
A3,25.0,A4,A15,0.77,0.07,0.43
A1,31.0,A1,A39,1.14,1.91,0.27
A8,19.0,A8,A54,0.26,0.18,0.0
A14,11.0,A0,A15,2.42,0.91,1.15
A4,31.0,A4,A78,0.16,0.06,0.0
A3,28.0,A7,A37,0.03,0.0,0.0
A4,25.0,A6,A79,0.0,0.01,0.0
A2,26.0,A0,A21,0.2,0.02,0.0
A4,36.0,A11,A80,0.0,0.01,0.0
A5,26.0,A0,A8,0.11,0.03,0.0
A7,26.0,A8,A81,0.01,0.0,0.0
A21,35.0,A0,A8,0.0,0.01,0.0
A7,23.0,A0,A1,0.45,0.35,0.0
A4,28.0,A6,A21,0.0,0.02,0.0
,31.0,A10,A20,0.01,0.0,0.0
,30.0,A3,A14,0.05,0.0,0.0
A2,32.0,A6,A26,0.24,0.12,0.0
A7,24.0,A8,A68,0.07,0.06,0.0
A16,29.0,A1,A1,0.3,1.27,0.46
A4,32.0,A0,A4,0.0,0.03,0.0
,16.0,A8,A10,0.26,0.16,1.46
A8,17.0,A6,A10,0.01,0.01,0.11
A11,35.0,A2,A82,0.23,0.33,0.0
A13,35.0,A8,A40,0.13,0.1,0.15
A2,27.0,A8,A14,0.06,0.01,0.0
A3,30.0,A11,A83,0.02,0.0,0.0
A18,22.0,A10,A53,0.01,0.0,0.0
A16,28.0,A1,A84,0.12,0.0,0.0
A5,21.0,A1,A21,0.14,0.04,0.0
A18,21.0,A6,A69,0.43,0.12,0.0
A7,23.0,A8,A51,0.12,0.1,0.0
A5,26.0,A9,A36,0.15,0.04,0.0
A2,31.0,A5,A85,0.1,0.02,0.0
A18,23.0,A1,A6,0.05,0.01,0.0
A0,26.0,A9,A10,0.14,0.05,0.16
A17,35.0,A8,A17,0.0,0.0,0.15
A16,34.0,A0,A25,0.0,0.0,0.09
A17,32.0,A0,A14,0.13,0.03,0.0
A4,35.0,A7,A54,0.0,0.04,0.0
A8,14.0,A2,A86,0.04,0.02,0.0
A16,35.0,A3,A80,0.11,0.28,0.0
A4,31.0,A10,A87,0.0,0.02,0.0
A9,34.0,A0,A35,0.34,0.13,0.0
A7,25.0,A7,A88,0.01,0.01,0.0
A1,28.0,A1,A19,0.12,0.0,0.0
A9,36.0,A1,A1,0.0,0.02,0.0
A4,28.0,A0,A35,0.02,0.03,0.0
A16,36.0,A4,A17,0.0,0.0,0.12
A7,24.0,A5,A4,0.32,0.25,0.0
A1,29.0,A8,A1,0.07,0.0,0.0
A3,25.0,A8,A39,0.7,0.01,0.0
A7,23.0,A1,A21,1.57,0.18,0.0
A1,28.0,A10,A60,0.0,0.0,0.01
A7,21.0,A8,A1,1.16,0.91,0.0
A7,29.0,A0,A8,0.0,0.0,0.03
A17,35.0,A0,A8,0.0,0.0,0.08
A3,29.0,A1,A12,0.1,0.0,0.0
A8,17.0,A3,A60,0.0,0.0,0.74
A8,18.0,A7,A62,0.0,0.0,0.36
A8,18.0,A6,A89,0.04,0.02,0.0
A7,25.0,A3,A85,0.05,0.04,0.08
A1,28.0,A1,A14,0.18,0.0,0.0
,29.0,A2,A51,0.14,0.06,0.0
A8,15.0,A4,A10,0.11,0.08,0.35
A8,20.0,A0,A3,0.31,0.21,0.0
A7,28.0,A2,A90,0.0,0.0,0.02
A8,16.0,A8,A91,0.02,0.01,0.0
A3,29.0,A3,A21,0.25,0.0,0.0
A17,32.0,A0,A92,0.0,0.0,0.14
A1,28.0,A8,A12,0.77,0.0,0.0
A0,30.0,A0,A1,0.0,0.0,0.07
A7,23.0,A1,A21,1.69,0.2,0.0
A3,28.0,A2,A93,0.31,0.0,0.0
A3,29.0,A0,A94,0.09,0.0,0.0
A18,22.0,A1,A6,0.15,0.04,0.0
A4,36.0,A4,A14,0.14,0.12,0.0
A2,30.0,A3,A85,0.08,0.07,0.0
A1,29.0,A1,A14,0.11,0.0,0.0
A2,26.0,A7,A21,0.76,0.7,0.02
A0,30.0,A2,A95,0.0,0.0,0.03
A7,24.0,A5,A8,0.47,0.02,0.0
A2,25.0,A1,A21,0.28,0.0,0.0
A0,27.0,A0,A12,0.1,0.01,0.0
,36.0,A7,A96,0.0,0.04,0.0
A2,31.0,A8,A69,0.27,0.06,0.0
A8,18.0,A2,A10,0.0,0.0,0.19
A1,30.0,A0,A97,0.0,0.01,0.0
A20,12.0,A8,A15,0.87,0.17,1.1
A1,28.0,A10,A98,0.16,0.0,0.0
A1,30.0,A10,A99,0.04,0.02,0.0
A14,15.0,A11,A100,0.0,0.0,0.03
A7,,A7,A20,0.11,0.09,0.0
A1,27.0,A1,A1,0.0,0.0,3.6844904770720928
A1,28.0,A8,A29,0.09,0.01,0.0
A7,25.0,A7,A26,1.22,0.05,0.0
A9,35.0,A6,A12,0.73,0.44,0.0
A22,17.0,A11,A101,0.0,0.0,0.28
A4,32.0,A6,A26,0.11,0.09,0.0
A0,33.0,A2,A73,0.0,0.0,0.02
A7,20.0,A11,A21,0.27,0.21,0.41
A1,29.0,A8,A12,0.28,0.1,0.0
A18,22.0,A1,A21,0.19,0.05,0.0
A20,9.0,A1,A15,0.75,0.3,0.9
A8,18.0,A7,A56,0.19,0.13,0.0
A3,31.0,A0,A26,0.45,0.0,0.0
A7,22.0,A1,A10,0.11,0.09,0.0
A15,24.0,A1,A15,0.16,0.06,0.0
A12,18.0,A10,A11,0.05,0.01,0.0
A7,23.0,A1,A39,0.26,0.21,0.0
A11,34.0,A4,A12,0.0,0.01,0.04
A3,28.0,A0,A7,0.04,0.0,0.0
A14,12.0,A1,A8,0.0,0.0,0.46
A1,27.0,A8,A12,0.13,0.0,0.0
A16,33.0,A0,A25,0.12,0.11,0.34
A8,20.0,A5,A3,1.76,1.21,0.07
A16,31.0,A1,A21,1.93,0.15,0.0
A16,33.0,A0,A17,0.6,1.31,0.08
A7,22.0,A6,A41,0.53,0.42,0.0
A1,27.0,A9,A3,0.4,0.0,0.0
A7,28.0,A4,A39,0.0,0.0,0.02
A15,22.0,A10,A9,0.51,0.19,0.0
A17,31.0,A10,A12,0.07,0.0,0.0
A2,26.0,A0,A68,0.27,0.08,0.01
A19,20.0,A5,A102,0.0,0.0,0.07
A22,15.0,A5,A39,0.34,0.26,1.3
A15,22.0,A4,A103,0.14,0.05,0.0
A3,29.0,A10,A3,0.22,0.0,0.0
A15,21.0,A10,A104,0.03,0.01,0.0
A8,,A2,A47,0.0,0.0,0.04
A15,21.0,A1,A1,0.13,0.05,0.0
A7,21.0,A7,A105,0.08,0.06,0.0
A16,30.0,A0,A106,0.05,0.16,0.0
A14,15.0,A9,A15,1.65,0.61,1.76
A16,28.0,A8,A10,0.29,0.4,0.0
A0,30.0,A0,A10,0.08,0.02,0.0
A3,27.0,A7,A64,0.03,0.0,0.0
A3,29.0,A3,A21,0.11,0.0,0.0
A0,31.0,A2,A107,0.0,0.0,0.15
A18,23.0,A7,A21,0.18,0.05,0.0
A7,25.0,A4,A25,0.02,0.02,0.05
A13,34.0,A4,A8,0.0,0.0,0.3
A17,33.0,A4,A15,5.17,4.05,4.34
A13,36.0,A2,A95,0.0,0.0,0.01
A7,26.0,A8,A108,0.0,0.0,0.02
A0,31.0,A4,A1,0.0,0.0,0.06
A13,33.0,A9,A109,0.16,0.06,0.0
A0,28.0,A2,A110,0.0,0.0,0.02
A0,27.0,A1,A10,0.03,0.0,0.0
A3,26.0,A0,A4,0.39,0.0,0.53
A3,31.0,A0,A8,0.0,0.0,0.08
A16,26.0,A1,A21,0.47,0.0,0.01
A22,17.0,A4,A111,0.0,0.0,0.21
A22,15.0,A5,A39,0.0,0.0,0.4
A8,16.0,A1,A5,0.99,0.13,0.1
A14,15.0,A9,A1,0.0,0.0,0.31
A7,28.0,A4,A68,0.05,0.04,0.0
A3,26.0,A1,A64,0.07,0.0,0.0
A16,27.0,A1,A21,0.35,0.0,0.0
A15,24.0,A8,A112,0.03,0.01,0.0
A15,25.0,A9,A3,0.12,0.05,0.0
A3,30.0,A0,A19,0.15,0.0,0.0
A2,27.0,A1,A12,0.09,0.0,0.0
A2,29.0,A0,A69,0.14,0.14,0.02
A8,15.0,A1,A113,0.04,0.03,0.0
A11,35.0,A5,A8,0.07,0.14,0.0
A3,30.0,A10,A114,0.13,0.07,0.0
A1,30.0,A8,A8,0.0,0.17,0.0
A1,29.0,A0,A49,0.03,0.0,0.0
A15,21.0,A0,A3,0.33,0.12,0.0
A7,27.0,A4,A8,0.0,0.0,0.08
A1,29.0,A7,A14,0.29,0.16,0.0
A15,23.0,A3,A115,0.04,0.01,0.0
A7,23.0,A0,A21,1.5,1.28,0.05
A3,25.0,A10,A15,0.15,0.01,0.06
A1,30.0,A1,A21,0.38,0.03,0.0
A0,28.0,A1,A1,0.0,0.0,0.31
A1,30.0,A1,A14,0.41,0.11,0.0
A2,29.0,A1,A21,0.4,0.02,0.0
A3,27.0,A4,A116,0.0,0.0,0.01
A9,34.0,A1,A21,0.31,0.06,0.0
A16,33.0,A5,A8,0.0,0.01,0.06
A2,30.0,A2,A58,0.0,0.0,0.03
A3,26.0,A1,A21,0.2,0.0,0.0
A7,20.0,A4,A1,0.04,0.03,0.0
A7,26.0,A6,A68,0.35,0.01,0.0
A0,31.0,A2,A111,0.0,0.0,0.08
A0,27.0,A1,A26,0.08,0.0,0.0
A10,0.0,A8,A14,1.07,0.07,0.0
A8,21.0,A1,A10,0.23,0.15,0.0
A0,27.0,A11,A26,0.16,0.01,0.0
A17,32.0,A10,A15,0.09,0.0,0.0
A18,23.0,A1,A39,0.08,0.02,0.0
A8,16.0,A10,A89,0.08,0.05,0.0
A21,35.0,A0,A117,0.03,0.02,0.0
A8,18.0,A5,A89,0.13,0.09,0.0
A16,35.0,A8,A12,0.1,0.08,0.0
A18,21.0,A7,A6,0.09,0.02,0.0
A16,31.0,A0,A25,0.25,0.14,0.46
A7,26.0,A4,A8,0.11,0.09,0.0
A16,27.0,A6,A12,0.34,0.48,0.02
A18,25.0,A0,A51,0.15,0.04,0.0
A16,34.0,A0,A14,0.04,0.05,0.01
A7,26.0,A0,A26,0.07,0.05,0.0
A18,24.0,A9,A3,0.4,0.12,0.0
A15,23.0,A9,A4,0.18,0.07,0.17
A18,23.0,A7,A118,0.01,0.0,0.0
,28.0,A0,A68,0.53,0.43,0.01
A22,15.0,A2,A119,0.0,0.0,0.06
A3,27.0,A4,A22,0.0,0.0,0.07
A3,29.0,A0,A29,0.22,0.16,0.0
A14,12.0,A7,A120,0.0,0.0,0.28
A2,30.0,A8,A88,0.0,0.02,0.0
A0,29.0,A4,A10,0.0,0.0,0.04
A12,16.0,A1,A15,0.49,0.03,0.0
A0,27.0,A7,A3,0.06,0.2,0.0
A3,31.0,A10,A121,0.0,0.05,0.0
A18,24.0,A1,A21,0.44,0.13,0.0
A3,30.0,A8,A14,0.58,0.0,0.0
A15,24.0,A10,A15,0.0,0.0,0.04
A16,29.0,A5,A3,1.07,0.45,0.01
A3,29.0,A4,A87,0.05,0.0,0.0
A3,26.0,A10,A115,0.05,0.0,0.0
A5,24.0,A1,A21,0.11,0.03,0.0
A1,28.0,A0,A3,0.49,0.0,0.0
A7,26.0,A1,A21,0.42,0.02,0.0
A3,27.0,A0,A115,0.01,0.0,0.0
A14,14.0,A5,A8,0.0,0.0,0.31
A3,28.0,A3,A63,0.1,0.0,0.0
A11,36.0,A0,A10,0.0,0.16,0.0
A11,35.0,A5,A39,0.0,0.0,0.02
,25.0,A1,A21,0.06,0.02,0.0
A1,26.0,A8,A12,1.23,0.07,0.02
A4,30.0,A1,A1,0.0,0.05,0.0
A0,25.0,A2,A10,0.19,0.41,0.0
A7,25.0,A11,A107,0.0,0.0,0.59
A3,30.0,A2,A3,0.19,0.05,0.0
A15,22.0,A9,A122,0.1,0.04,0.0
A4,29.0,A2,A63,0.0,0.01,0.0
A3,31.0,A11,A25,0.0,0.0,0.08
A3,29.0,A11,A29,0.0,0.0,0.01
A3,28.0,A2,A23,0.0,0.0,0.03
A7,21.0,A1,A10,0.11,0.09,0.0
A2,28.0,A0,A36,0.09,0.01,0.0
A17,32.0,A0,A15,0.0,0.0,0.27
A3,27.0,A0,A123,0.03,0.01,0.0
,30.0,A1,A12,0.11,0.05,0.0
A7,29.0,A8,A18,0.1,0.08,0.0
A15,23.0,A9,A51,0.24,0.09,0.0
A3,29.0,A2,A3,0.15,0.22,0.0
A1,26.0,A9,A36,0.06,0.01,0.0
A18,24.0,A0,A1,0.04,0.01,0.0
,31.0,A4,A15,0.13,0.1,0.08
A3,28.0,A2,A124,0.0,0.0,0.03
A5,26.0,A2,A3,0.11,0.03,0.0
A2,28.0,A0,A25,0.04,0.0,0.01
A7,27.0,A4,A40,0.0,0.0,0.04
A8,18.0,A0,A56,1.48,0.2,0.0
A1,28.0,A8,A12,0.0,0.03,0.0
A2,27.0,A11,A69,0.0,0.02,0.0
A17,35.0,A4,A125,0.16,0.01,0.05
A18,22.0,A1,A1,0.02,0.01,0.0
A15,25.0,A0,A3,0.29,0.11,0.0
A12,20.0,A0,A3,0.4,0.09,0.0
A4,29.0,A11,A68,0.0,0.02,0.0
A7,23.0,A1,A21,0.5,0.39,0.0
A18,23.0,A6,A21,0.17,0.05,0.0
A16,28.0,A0,A26,0.08,0.37,0.0
A16,34.0,A8,A39,0.09,0.04,0.1
A16,33.0,A1,A21,0.75,0.0,0.0
A16,31.0,A0,A4,0.0,0.0,0.18
A13,35.0,A0,A25,0.0,0.0,0.03
A16,26.0,A7,A10,0.0,0.57,0.04
A16,35.0,A2,A8,0.0,0.0,0.02
A22,14.0,A6,A39,0.0,0.0,0.2
A8,19.0,A4,A34,0.1,0.07,0.71
A10,,A5,A126,0.44,0.03,0.0
A3,27.0,A4,A8,0.0,0.0,0.26
A16,28.0,A0,A39,0.32,0.25,0.0
A1,,A8,A20,0.15,0.0,0.0
A0,29.0,A11,A25,0.0,0.0,0.04
A4,30.0,A1,A39,0.0,1.01,0.0
A8,17.0,A8,A127,0.39,0.27,0.0
A18,24.0,A5,A46,0.08,0.02,0.0
A3,31.0,A10,A114,0.0,0.03,0.0
A7,29.0,A1,A1,0.0,0.0,0.15
A16,35.0,A0,A14,0.15,0.18,0.0
A5,24.0,A9,A3,0.26,0.07,0.0
A12,19.0,A0,A15,0.62,0.18,0.65
A12,17.0,A5,A5,0.08,0.02,0.0
A7,24.0,A2,A3,0.11,0.09,0.0
A14,15.0,A10,A128,0.0,0.0,0.05
A20,20.0,A2,A129,0.0,0.0,0.14
A17,35.0,A8,A15,0.01,0.61,0.02
A9,33.0,A9,A14,0.22,0.06,0.0
A3,30.0,A1,A23,0.01,0.0,0.02
A7,23.0,A2,A10,0.03,0.03,0.0
A3,29.0,A3,A12,0.24,0.11,0.0
,35.0,A0,A15,0.0,0.0,0.19
A0,27.0,A1,A85,0.19,0.0,0.0
A5,22.0,A10,A53,0.01,0.0,0.0
A3,28.0,A10,A22,0.0,0.01,0.0
A18,24.0,A1,A14,0.09,0.02,0.0
A5,23.0,A7,A3,0.06,0.02,0.0
A7,23.0,A5,A39,0.35,0.27,0.0
A3,28.0,A8,A130,0.06,0.01,0.0
A2,28.0,A6,A54,0.23,0.04,0.0
A17,33.0,A0,A8,0.0,0.0,0.04
A7,23.0,A0,A14,1.89,1.05,0.02
A0,26.0,A7,A54,0.01,0.0,0.0
A1,28.0,A3,A131,0.13,0.0,0.0
A7,24.0,A4,A12,0.1,0.08,0.0
A7,24.0,A1,A1,0.16,1.89,1.12
A8,16.0,A1,A10,0.1,0.07,0.24
A18,25.0,A2,A1,0.01,0.0,0.0
A8,18.0,A2,A132,0.0,0.0,0.11
A3,28.0,A2,A123,0.24,0.0,0.0
A3,27.0,A2,A6,0.17,0.0,0.0
A18,22.0,A5,A3,0.4,0.13,0.0
A7,25.0,A0,A1,0.18,0.14,0.05
A21,32.0,A6,A14,0.07,0.05,0.0
A1,28.0,A0,A4,0.17,0.04,0.08
A5,22.0,A9,A12,0.03,0.01,0.0
A3,28.0,A2,A99,0.0,0.0,0.03
A15,24.0,A8,A47,0.31,0.11,0.0
A8,20.0,A7,A14,0.25,0.17,0.0
A8,21.0,A6,A133,0.49,0.33,0.0
A7,22.0,A7,A134,0.02,0.02,0.0
A15,22.0,A6,A1,0.08,0.03,0.0
A3,30.0,A10,A29,0.11,0.0,0.0
A10,2.0,A0,A9,0.35,0.02,0.0
A2,29.0,A6,A14,0.28,0.22,0.0
A9,36.0,A1,A85,0.03,0.09,0.0
A0,26.0,A6,A12,0.23,0.14,0.0
A17,33.0,A2,A4,0.0,0.0,0.38
A2,32.0,A8,A4,0.08,0.03,0.02
,31.0,A5,A8,0.39,0.1,0.01
A7,25.0,A4,A78,0.32,0.25,0.0
A0,29.0,A1,A25,0.0,0.0,0.03
A1,30.0,A9,A3,0.22,0.01,0.0
A3,32.0,A10,A20,0.0,0.03,0.0
A1,30.0,A2,A12,0.12,0.08,0.0
A7,24.0,A0,A39,0.09,0.07,0.0
A7,29.0,A1,A9,0.08,0.07,0.0
A16,34.0,A4,A40,0.01,0.0,0.11
A13,34.0,A4,A8,0.0,0.0,0.19
A3,30.0,A4,A8,0.0,0.0,0.07
A3,30.0,A0,A22,0.0,0.0,0.02
A16,32.0,A0,A8,0.01,0.24,0.86
A3,24.0,A7,A15,0.21,0.14,0.38
,28.0,A9,A69,0.0,0.01,0.0
A9,34.0,A4,A14,0.35,0.24,0.0
A16,35.0,A0,A25,0.0,0.0,0.02
A15,22.0,A6,A12,0.08,0.03,0.0
A5,,A1,A21,0.23,0.06,0.0
